"Subject";"Class";"Strand";"Strand Unit";"Content Objectives";"Further Information";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"gnéithe sa timpeallacht mar a fheictear iad ó ionaid éagsúla ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"an fhíor dhaonna (m.sh. páiste eile sa rang ag cur staidiúirí éagsúla air/uirthi féin)";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos ar a bhfuil ag titim amach sa phictiúr";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"na saghsanna éagsúla marcanna a rinneadh ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an taitneamh a bhain sé/sí as an líníocht a dhéanamh ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"conas mar a d'oibrigh an t-ealaíontóir ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an mhionpháirt is mó a thaitníonn leis/léi féin";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos ar a bhfuil ar siúl sa líníocht ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"na hábhair agus na huirlisí a roghnaíodh agus na torthaí a bhí i gceist ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a chuirtear rithim agus foirm in iúl ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"fadhbanna a tháinig sa bhealach nuair a bhí an fhíor dhaonna á léirmhíniú agus mar a réitíodh iad ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"rádalú nó scála a úsáid chun doimhneacht spásúlach a chur in iúl ar leathanach ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an ghné den líníocht is mó a thugann sásamh ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"léirithe eile ar an téama nó conas mar a thabharfadh sé/sí faoi ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"a mothaíonn sé/sí faoin léiriú";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos ar a bhfuil ag titim amach sa líníocht ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"línte";" cruthanna";" uigeacht";" gréasa agus toin a cruthaíodh agus a eagraíodh chun an líníocht a dhéanamh ";;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a úsáideadh ábhair agus uirlisí agus na torthaí a cruthaíodh ";;;;;;;;;;
