"Subject";"Class";"Strand";"Strand Unit";"Content Objectives";"Further Information";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála";"rádalú nó cruthanna a leagan taobh le taobh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála";"achair a mhascadh agus prionta breise a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála";"raon datha níos leithne a úsáid chun íomhánna níos coimpléascaí a chruthú ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála";"triail a bhaint as teicníocht ghaolmhar chun fótagraim ina gcuirtear béim ar chruth";" chlaonchruth agus imlíne a dhéanamh";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"raon de phriontaí rilífe a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"bloic phriontála rilífe a chumadh le líne";" le cruth";" le huigeacht agus le gréas";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"athléirmhíniú a dhéanamh ar a líníochtaí agus ar a sceitsí breathnóireachta i bpriontaí rilífe ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"monaiphriontaí a dhéanamh le béim ar líne";" ar chruth agus ar uigeacht";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"comhcheangal a dhéanamh le teicníochtaí eile priontála ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"cuimilteáin phictiúrtha a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"roinnt dá líníochtaí a léirmhíniú mar chruth comhréidh nó mar scáthchruth le raon spéisiúil uigeachta ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"priontaí clóbhualadh criathair a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh";"roinnt dá líníochtaí a léirmhíniú mar chruth comhréidh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"priontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)";"triail a bhaint as teicníochtaí priontála fabraice ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"priontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)";"póstaeir a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"priontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)";"cártaí agus comharthaí a dhearadh agus a phriontáil";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"ríomhchlár ealaíne a úsáid chun buníomhánna nach bhfuil ag brath ar phictiúir ghearrtha a chruthú";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"triail a bhaint as teicníochtaí simplí priontála a úsáid chun torthaí a bhaint amach";"le hearraí fuíll a bhfuil uigeacht nó cruthanna spéisiúla orthu ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"triail a bhaint as teicníochtaí simplí priontála a úsáid chun torthaí a bhaint amach";"cuimilteáin de choirt chrainn nó d'fhabraicí a dhéanamh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"triail a bhaint as teicníochtaí simplí priontála a úsáid chun torthaí a bhaint amach";"raon teoranta de dhathanna a úsáid chun díriú ar uigeacht";" ar chruth";" ar chlaonchruth agus ar ghréas";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"triail a bhaint as teicníochtaí simplí priontála a úsáid chun torthaí a bhaint amach";"a fháil amach mar a d'fhéadfaí priontaí simplí a fhorbairt a thuilleadh trí fhorphriontáil orthu le dathanna i gcodarsnacht leo agus leis na cruthanna céanna nó le cruthanna i gcodarsnacht leo";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"raon de phriontaí rilífeacha éagsúla a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"feidhm a bhaint as dath amháin nó as níos mó ná dath amháin agus bloc priontála rilífe á chumadh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"dearadh le haghaidh prionta a chruthú trí línte tiubha agus línte tanaí a tharraingt ar leac chré ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"priontáil le mascadh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"achair de dhromchla clúdaithe le dúch";" ónar tógadh priontaí cheana";" a mhascadh ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"stionsail a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"péint a spré nó a leathadh le spúinse ar stionsail a gearradh de réir gréasa a chum an páiste féin ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"pictiúir a dhéanamh ar pháipéar gréiscdhíonach";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"péinteáil le spúinse anuas ar dhearadh criáin chéarach nó coinnle ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"priontaí inaistrithe a dhéanamh trí chriáin chéarach a úsáid ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"criáin chéarach ar dhathanna éagsúla a úsáid chun bloc priontála daite a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Priontaí a dhéanamh";"raon de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théama nó priontaí neamhléiritheacha a dhéanamh";"ríomhchlár ealaíne a úsáid chun roinnt dearthaí pléasctha a dhéanamh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"triail a bhaint as raon níos leithne teicníochtaí chun priontaí a dhéanamh";"priontáil a dhéanamh le raon teoranta datha ionas go ndíreofaí ar mhacasamhla níos coimpléascaí a dhéanamh i gcruth";" in uigeacht agus i ngréas ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"triail a bhaint as raon níos leithne teicníochtaí chun priontaí a dhéanamh";"a fhionnachtain conas priontaí simplí a fhorbairt a thuilleadh (cruthanna ag forluí ar a chéile";" mar shampla)";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"raon de phriontaí éagsúla rilífe a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"bloic phriontála rilífe a chumadh agus béim á cur ar líne";" ar chruth";" ar chlaonchruth";" ar uigeacht";" ar ghréas ";;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"nithe coitianta a bhrú isteach i leac chré ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"cuid de na hachair a mhascadh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"raon de phriontaí rilífe éagsúla ar scála beag a dhéanamh (stampáil) ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"gréasa agus rithimí spéisiúla a chumadh trí stampaí a chur le hais a chéile";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"stionsail a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"péint a spré nó a leathadh le spúinse ar stionsail a gearradh de réir dhearadh an pháiste féin ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"béim a leagan ar líne agus ar chruth agus monaiphriontaí á ndéanamh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"raon forásach de theicníochtaí priontála a úsáid chun priontaí bunaithe ar théamaí chomh maith le priontaí neamhléiritheacha a dhéanamh";"comhcheangal a dhéanamh le teicníochtaí eile";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"monaiphriontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)";"lena n-úsáid ar pháipéar beartán";" ar bhoscaí agus ar fhabraic ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"monaiphriontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)";"póstaeir a dhéanamh le haghaidh ócáidí ar leith";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Priontaí a dhéanamh";"ríomhchlár ealaíne a úsáid chun buníomhánna a chruthú gan úsáid a bhaint as pictiúr ghearrtha";"dearadh priontála a leagan amach";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"rudaí coitianta a bhreathnú";" a láimhsiú agus a phlé chun cleachtadh a fháil ar chruth";" ar uigeacht agus ar ghréas";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne déanta de chruthanna agus uigeacht shimplí a bhreathnú agus a phlé";"cur síos a dhéanamh ar an bprionta";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne déanta de chruthanna agus uigeacht shimplí a bhreathnú agus a phlé";"líne";" cruth";" uigeacht";" gréas ";;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne déanta de chruthanna agus uigeacht shimplí a bhreathnú agus a phlé";"mar a thaitin sé leis/léi iad a dhéanamh ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne déanta de chruthanna agus uigeacht shimplí a bhreathnú agus a phlé";"mar a rinne an t-ealaíontóir iad ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne déanta de chruthanna agus uigeacht shimplí a bhreathnú agus a phlé";"an ghné den phrionta is mó a thaitníonn leis/léi";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Breathnú agus freagairt";"samplaí de phriontdhearadh coitianta simplí a bhreathnú agus a phlé";"póstaeir";" páipéar balla";" fabraicí le dearadh athchóipeálta arís agus arís eile nó le dearadh de shaghas eile";" ábhar pacála";" páipéar beartán";;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Breathnú agus freagairt";"earraí nádúrtha agus earraí saothraithe a bhreathnú";" a láimhsiú agus a phlé chun taithí a fháil ar uigeacht";" ar chruth agus ar ghréas";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile";" priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé";"cur síos ar an bprionta";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile";" priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé";"líne";" cruth agus claonchruth";" uigeacht";" gréas";" dath agus ton agus an toradh a baineadh amach ";;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile";" priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé";"na socruithe a rinneadh le linn na hoibre ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile";" priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé";"na teicníochtaí ar bhain an t-ealaíontóir úsáid astu agus tuairimíocht faoin gcúis ar roghnaigh sé/sí iad ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile";" priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé";"na codanna is sásúla den phrionta nó a thionchar";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Breathnú agus freagairt";"rudaí coitianta a bhreathnú";" a láimhsiú agus a phlé chun taithí a fháil ar uigeacht";" ar chruth agus ar ghréas";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne le cruthanna";" le huigeacht agus le gréas réasúnta simplí orthu a bhreathnú agus a phlé";"cur síos ar an bprionta ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne le cruthanna";" le huigeacht agus le gréas réasúnta simplí orthu a bhreathnú agus a phlé";"líne";" cruth";" dath agus ton";" uigeacht";" gréas agus mar a chomhcheanglaíonn siad le chéile ";;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne le cruthanna";" le huigeacht agus le gréas réasúnta simplí orthu a bhreathnú agus a phlé";"mar a úsáideadh ábhair agus uirlisí chun torthaí a bhaint amach ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne le cruthanna";" le huigeacht agus le gréas réasúnta simplí orthu a bhreathnú agus a phlé";"na gnéithe den phrionta a thaitníonn leis/léi ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí ealaíne le cruthanna";" le huigeacht agus le gréas réasúnta simplí orthu a bhreathnú agus a phlé";"roinnt priontaí a bhreathnú chun teicníochtaí priontála a imscrúdú (m.sh. liotagraf a chur i gcomparáid lena p(h)ictiúr féin ar pháipéar gréiscdhíonach)";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"earraí nádúrtha agus earraí saothraithe a bhreathnú";" a láimhsiú agus a phlé chun taithí a fháil ar uigeacht";" ar chruth agus ar ghréas";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"cur síos ar an bprionta";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"líne";" cruth";" claonchruth";" uigeacht";" gréas";" dath a úsáideadh chun an mhacasamhail nó an dearadh a chruthú";;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"mar a úsáideadh ábhair agus uirlisí chun an prionta a chruthú agus a fhorbairt ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"mar a réitíodh fadhbanna ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"an ghné den saothar a thaitníonn leis/léi ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"roinnt priontaí a bhreathnú chun teicníochtaí priontála a imscrúdú (ar a son féin chomh maith) ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus priontaí nó dearthaí priontaí ealaíne a léiríonn imeartas crutha";" uigeachta nó líne a bhreathnú agus a phlé";"stionsail agus monaiphriontaí a chur i gcomparáid lena s(h)aothar féin";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Prionta";"Breathnú agus freagairt";"samplaí de dhearadh choitianta a bhreathnú agus a phlé";;;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain";"liathróid bheag chré a fháisceadh";" a tharraingt";" a bhrú";" a phriocadh agus a rolladh";;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain";"píosaí a shracadh as an gcré agus iad a chur le chéile arís ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain";"tús a chur le hidirdhealú a dhéanamh idir cruthanna a luíonn go cothrom agus foirmeacha soladacha a sheasann gan tacaíocht ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain";"foirmeacha éagsúla a dhéanamh i gcré ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain";"ramhar";" lúbach";" stóinsithe";" cnapach";;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"foirm chré a dhéanamh agus a oibriú leis na méara chun rud a chur in iúl";"créatúr samhailteach a dhéanamh de liathróid chré";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"foirm chré a dhéanamh agus a oibriú leis na méara chun rud a chur in iúl";"raon d'ainmhithe nó d'ainmhithe samhailteacha éagsúla a dhéanamh";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"foirm chré a dhéanamh agus a oibriú leis na méara chun rud a chur in iúl";"turgnamh le marcanna";" le huigeacht agus le gréas a dhéanamh ar dhromchla ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"foirm chré a dhéanamh agus a oibriú leis na méara chun rud a chur in iúl";"na marcanna a rinneadh a phlé";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Cré";"Forbairt foirme i gcré";"píosaí meán measctha a chumadh i modh léiritheach nó i modh neamhléiritheach";"cipíní";" cipíní líreacáin";" cleití nó cnaipí a bhrú isteach sa chré";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Cré";"Forbairt foirme i gcré";"buanna cré mar mheán le haghaidh léirithe shamhlaíoch a iniúchadh agus a fhionnachtain";"turgnamh le cothromaíocht agus le coibhneas";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Cré";"Forbairt foirme i gcré";"cré a úsáid chun foirm a anailisiú agus a léirmhíniú ó bhreathnóireacht";"an ceann daonna nó fíor urrúnta dhaonna a mhúnlú";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Cré";"Forbairt foirme i gcré";"roinnt de na tréithe bunúsacha a bhaineann le saothar tríthoiseach a iniúchadh";"potaí cornáncha nó potaí méaraithe a dhearadh";" a dhéanamh agus a mhaisiú ";;;;;;;;;;
